Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	1	0	text	shape	heart	False	1	2	b4	color	shape	number	yellow	heart	five	0	1	0
2	1	3.0	text	color	magenta	True	0	1	b5	number	color	shape	four	magenta	star	1	1	0
3	1	4.0	text	color	magenta	True	0	1	b5	number	color	shape	four	magenta	heart	2	1	0
4	1	5.0	text	shape	star	True	0	1	b4	number	shape	color	five	star	magenta	3	1	0
5	3	0	visual	number	two	False	1	2	b3	shape	color	number	cross	red	two	3	2	0
6	3	0	visual	number	three	False	1	2	b2	color	shape	number	green	circle	three	3	3	0
7	3	0	visual	number	yellow	False	2	2	b3	shape	color	number	cross	green	yellow	3	3	1
8	3	5.0	visual	color	green	True	0	2	b2	shape	number	color	yellow	one	green	4	3	1
9	1	3.66666666667	audio	number	one	True	0	2	b1	number	shape	color	one	star	yellow	5	3	1
10	1	3.25	audio	shape	circle	True	0	3	b1	shape	color	number	circle	yellow	one	6	3	1
11	1	7.5	audio	shape	star	True	0	1	b4	shape	color	number	star	yellow	one	7	3	1
12	1	0	audio	number	one	False	2	1	b4	number	shape	color	one	circle	yellow	7	3	2
13	1	0	audio	color	yellow	False	2	1	b1	color	shape	number	yellow	star	one	7	3	3
14	1	0	audio	color	yellow	False	2	1	b1	color	number	shape	yellow	one	star	7	3	4
15	1	11.5	audio	shape	star	True	0	1	b4	shape	color	number	star	red	four	8	3	4
16	1	25.0	audio	color	yellow	True	0	0	b4	color	number	shape	yellow	four	circle	9	3	4
