Round	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	text	number	two	True	0	6	b2	color	number	shape	green	two	cross	1	0	0
2	text	number	four	False	1	4	b2	shape	number	color	triangle	four	yellow	1	1	0
3	text	shape	circle	True	0	7	b1	number	shape	color	one	circle	yellow	2	1	0
4	text	number	four	True	0	6	b4	color	number	shape	red	four	triangle	3	1	0
5	text	shape	cross	True	0	4	b3	number	shape	color	three	cross	red	4	1	0
6	text	number	one	True	0	1	b1	color	number	shape	blue	one	cross	5	1	0
7	text	shape	cross	False	2	3	b1	number	shape	color	one	cross	blue	5	1	1
8	text	number	four	True	0	5	b4	color	number	shape	yellow	four	star	6	1	1
9	text	shape	cross	True	0	3	b3	color	shape	number	red	cross	two	7	1	1
10	text	number	four	False	2	2	b3	color	number	shape	blue	four	circle	7	1	2
11	text	shape	triangle	True	0	5	b2	number	shape	color	two	triangle	red	8	1	2
12	text	shape	star	False	2	3	b3	number	shape	color	three	star	blue	8	1	3
13	text	number	four	False	2	8	b3	color	number	shape	green	four	cross	8	1	4
13	text	number	four	True	0	8	b4	color	number	shape	green	four	cross	9	1	4
15	text	color	blue	False	2	8	b4	shape	color	number	triangle	blue	three	9	1	5
15	text	color	blue	False	2	8	b2	shape	color	number	triangle	blue	three	9	1	6
15	text	color	blue	False	2	8	b2	shape	color	number	triangle	blue	three	9	1	7
18	text	color	red	True	0	4	b1	shape	color	number	triangle	red	three	10	1	7
19	text	color	yellow	True	0	2	b4	number	color	shape	four	yellow	star	11	1	7
20	text	shape	circle	True	0	3	b1	number	shape	color	three	circle	blue	12	1	7
21	text	color	green	True	0	3	b2	shape	color	number	cross	green	two	13	1	7
22	text	color	green	True	0	2	b2	number	color	shape	three	green	cross	14	1	7
23	text	color	red	False	2	1	b4	shape	color	number	cross	red	four	14	1	8
24	text	color	yellow	False	2	2	b3	shape	color	number	cross	yellow	one	14	1	9
25	text	number	three	False	2	1	b1	shape	number	color	circle	three	blue	14	1	10
26	text	shape	triangle	True	0	1	b2	number	shape	color	three	triangle	red	15	1	10
27	text	shape	cross	True	0	2	b3	color	shape	number	green	cross	three	16	1	10
28	text	color	red	True	0	2	b1	number	color	shape	two	red	circle	17	1	10
29	text	shape	cross	True	0	1	b3	color	shape	number	green	cross	four	18	1	10
30	text	shape	triangle	True	0	3	b2	color	shape	number	yellow	triangle	one	19	1	10
31	text	color	yellow	False	2	3	b3	shape	color	number	cross	yellow	three	19	1	11
32	text	shape	star	False	2	3	b2	color	shape	number	yellow	star	three	19	1	12
33	text	color	green	True	0	2	b2	number	color	shape	one	green	star	20	1	12
34	text	shape	triangle	True	0	3	b2	color	shape	number	red	triangle	two	21	1	12
35	text	shape	star	True	0	2	b4	number	shape	color	four	star	yellow	22	1	12
36	text	color	green	True	0	1	b2	shape	color	number	star	green	two	23	1	12
37	text	shape	circle	True	0	2	b1	number	shape	color	one	circle	green	24	1	12
38	text	color	green	False	2	1	b4	shape	color	number	cross	green	four	24	1	13
39	text	color	red	True	0	3	b1	number	color	shape	four	red	cross	25	1	13
40	audio	shape	circle	True	0	2	b1	shape	color	number	circle	green	four	26	1	13
41	audio	shape	triangle	False	1	2	b3	shape	number	color	triangle	three	yellow	26	2	13
42	audio	color	red	True	0	3	b1	color	number	shape	red	one	cross	27	2	13
43	audio	number	two	True	0	2	b2	number	color	shape	two	green	cross	28	2	13
44	audio	color	blue	False	2	2	b4	color	shape	number	blue	star	four	28	2	14
45	audio	number	two	True	0	2	b2	number	shape	color	two	triangle	red	29	2	14
46	audio	shape	star	True	0	3	b4	shape	number	color	star	two	red	30	2	14
47	audio	shape	cross	True	0	3	b3	shape	number	color	cross	three	red	31	2	14
48	text	number	four	True	0	1	b4	color	number	shape	green	four	star	32	2	14
49	text	color	green	True	0	1	b2	shape	color	number	cross	green	two	33	2	14
50	text	number	three	True	0	2	b3	shape	number	color	circle	three	yellow	34	2	14
51	text	number	four	True	0	2	b4	shape	number	color	cross	four	red	35	2	14
52	text	shape	circle	True	0	1	b1	color	shape	number	red	circle	three	36	2	14
53	text	number	one	True	0	2	b1	color	number	shape	blue	one	cross	37	2	14
54	text	color	yellow	True	0	1	b4	shape	color	number	circle	yellow	one	38	2	14
55	text	number	three	True	0	1	b3	shape	number	color	triangle	three	red	39	2	14
56	visual	shape	cross	False	1	1	b1	color	number	shape	blue	one	cross	39	3	14
57	visual	number	four	False	1	3	b3	shape	color	number	cross	blue	four	39	4	14
58	visual	color	blue	True	0	1	b3	number	shape	color	three	circle	blue	40	4	14
59	visual	shape	triangle	True	0	2	b2	number	color	shape	one	green	triangle	41	4	14
60	visual	number	one	True	0	1	b1	color	shape	number	blue	circle	one	42	4	14
