Round	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	audio	color	green	False	1	4	b3	color	number	shape	green	three	star	0	1	0
2	audio	number	four	True	0	2	b4	number	color	shape	four	blue	star	1	1	0
3	audio	color	red	True	0	2	b1	color	number	shape	red	two	star	2	1	0
4	audio	shape	triangle	True	0	3	b2	shape	color	number	triangle	blue	four	3	1	0
5	audio	shape	star	True	0	2	b4	shape	color	number	star	red	two	4	1	0
6	audio	shape	triangle	True	0	2	b2	shape	number	color	triangle	three	yellow	5	1	0
7	audio	number	two	True	0	1	b2	number	color	shape	two	red	cross	6	1	0
8	text	color	green	False	1	1	b4	shape	color	number	star	green	two	6	2	0
9	text	shape	triangle	False	1	2	b1	color	shape	number	red	triangle	two	6	3	0
10	text	shape	triangle	True	0	1	b2	color	shape	number	green	triangle	one	7	3	0
11	text	shape	star	True	0	3	b4	number	shape	color	four	star	yellow	8	3	0
12	text	shape	circle	False	2	1	b3	color	shape	number	blue	circle	four	8	3	1
13	text	number	three	True	0	1	b3	color	number	shape	blue	three	star	9	3	1
14	text	number	two	True	0	2	b2	color	number	shape	green	two	cross	10	3	1
15	text	shape	cross	True	0	1	b3	number	shape	color	three	cross	yellow	11	3	1
16	visual	number	one	False	1	2	b3	color	shape	number	yellow	circle	one	11	4	1
17	visual	shape	cross	False	1	1	b1	color	number	shape	red	three	cross	11	5	1
18	visual	number	two	False	2	1	b3	color	shape	number	blue	cross	two	11	5	2
19	visual	color	yellow	False	2	2	b3	shape	number	color	cross	three	yellow	11	5	3
20	visual	shape	star	False	2	1	b3	color	number	shape	blue	one	star	11	5	4
21	visual	number	four	True	0	2	b4	color	shape	number	yellow	star	four	12	5	4
22	visual	color	red	True	0	1	b1	shape	number	color	circle	four	red	13	5	4
23	visual	number	three	False	2	3	b4	color	shape	number	yellow	cross	three	13	5	5
24	visual	number	two	False	2	1	b1	color	shape	number	red	triangle	two	13	5	6
25	visual	number	three	False	2	1	b4	shape	color	number	star	green	three	13	5	7
26	visual	color	red	True	0	1	b1	shape	number	color	circle	three	red	14	5	7
27	visual	shape	star	False	2	2	b3	color	number	shape	blue	four	star	14	5	8
28	visual	shape	cross	False	2	1	b2	color	number	shape	green	two	cross	14	5	9
29	visual	shape	circle	False	2	2	b3	number	color	shape	three	green	circle	14	5	10
30	visual	number	two	True	0	1	b2	color	shape	number	green	star	two	15	5	10
31	visual	color	blue	False	2	1	b1	shape	number	color	circle	four	blue	15	5	11
32	visual	shape	star	True	0	3	b4	number	color	shape	four	blue	star	16	5	11
33	visual	color	yellow	False	2	2	b2	shape	number	color	triangle	four	yellow	16	5	12
34	visual	shape	cross	True	0	4	b3	color	number	shape	blue	two	cross	17	5	12
35	visual	number	two	False	2	4	b4	shape	color	number	star	red	two	17	5	13
36	visual	shape	cross	True	0	5	b3	color	number	shape	yellow	one	cross	18	5	13
37	visual	color	red	True	0	2	b1	number	shape	color	two	circle	red	19	5	13
37	visual	color	red	True	0	2	b1	number	shape	color	two	circle	red	20	5	13
39	visual	color	yellow	False	2	8	b1	shape	number	color	star	two	yellow	20	5	14
39	visual	color	yellow	False	2	8	b1	shape	number	color	star	two	yellow	20	5	15
41	visual	color	blue	False	2	8	b1	shape	number	color	circle	two	blue	20	5	16
41	visual	color	blue	False	2	8	b1	shape	number	color	circle	two	blue	20	5	17
43	visual	number	four	True	0	8	b4	shape	color	number	cross	green	four	21	5	17
43	visual	number	four	False	2	8	b4	shape	color	number	cross	green	four	21	5	18
43	visual	number	four	False	2	8	b4	shape	color	number	cross	green	four	21	5	19
46	visual	number	two	False	2	8	b4	shape	color	number	cross	green	two	21	5	20
46	visual	number	two	False	2	8	b4	shape	color	number	cross	green	two	21	5	21
46	visual	number	two	False	2	8	b4	shape	color	number	cross	green	two	21	5	22
49	visual	number	two	False	2	8	b4	shape	color	number	triangle	yellow	two	21	5	23
49	visual	number	two	False	2	8	b4	shape	color	number	triangle	yellow	two	21	5	24
49	visual	number	two	False	2	8	b4	shape	color	number	triangle	yellow	two	21	5	25
52	visual	shape	star	False	2	6	b2	color	number	shape	green	four	star	21	5	26
53	visual	color	blue	True	0	1	b3	number	shape	color	four	circle	blue	22	5	26
54	visual	shape	cross	True	0	1	b3	color	number	shape	blue	four	cross	23	5	26
55	visual	shape	cross	False	2	1	b4	color	number	shape	yellow	four	cross	23	5	27
56	visual	shape	star	True	0	2	b4	color	number	shape	yellow	one	star	24	5	27
57	visual	shape	star	False	2	1	b1	number	color	shape	one	yellow	star	24	5	28
58	visual	shape	triangle	False	2	3	b3	number	color	shape	four	blue	triangle	24	5	29
59	visual	color	red	True	0	1	b1	number	shape	color	two	triangle	red	25	5	29
60	visual	number	two	True	0	2	b2	color	shape	number	yellow	triangle	two	26	5	29
