Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	4	1.4	text	shape	triangle	True	0	4	b2	color	shape	number	red	triangle	three	1	0	0
2	4	2.25	text	color	yellow	True	0	3	b4	number	color	shape	one	yellow	triangle	2	0	0
3	4	2.75	text	color	magenta	True	0	3	b5	number	color	shape	one	magenta	star	3	0	0
4	4	4.33333333333	text	shape	star	True	0	2	b4	number	shape	color	two	star	red	4	0	0
5	4	2.5	visual	color	blue	True	0	3	b3	number	shape	color	five	star	blue	5	0	0
6	4	6.0	visual	shape	triangle	True	0	1	b2	number	color	shape	one	magenta	triangle	6	0	0
7	4	3.5	visual	color	red	True	0	3	b1	number	shape	color	three	star	red	7	0	0
8	4	8.0	visual	color	red	True	0	1	b1	number	shape	color	four	triangle	red	8	0	0
9	4	0	text	number	two	False	2	7	b1	shape	number	color	circle	two	yellow	8	0	1
10	4	0	text	color	green	False	1	1	b3	shape	color	number	cross	green	one	8	1	1
11	4	9.0	text	shape	circle	True	0	1	b1	number	shape	color	four	circle	magenta	9	1	1
12	4	6.66666666667	text	shape	heart	True	0	2	b5	color	shape	number	blue	heart	four	10	1	1
13	3	4.25	visual	color	blue	True	0	3	b3	shape	number	color	star	five	blue	11	1	1
14	3	9.5	visual	color	magenta	True	0	1	b5	shape	number	color	blue	two	magenta	12	1	1
15	3	7.0	visual	shape	star	True	0	2	b4	color	number	shape	green	blue	star	13	1	1
16	3	7.66666666667	visual	color	magenta	True	0	2	b5	shape	number	color	blue	two	magenta	14	1	1
