Round	Level	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	1	audio	shape	cross	False	1	2	b4	shape	number	color	cross	three	blue	0	1	0
2	1	audio	number	two	True	0	3	b2	number	color	shape	two	blue	triangle	1	1	0
3	1	audio	number	three	True	0	2	b3	number	color	shape	three	blue	triangle	2	1	0
4	1	audio	color	blue	True	0	2	b3	color	shape	number	blue	cross	three	3	1	0
5	1	audio	color	blue	True	0	1	b3	color	number	shape	blue	two	cross	4	1	0
6	1	audio	color	green	True	0	1	b2	color	shape	number	green	cross	two	5	1	0
7	1	audio	shape	triangle	True	0	2	b2	shape	color	number	triangle	blue	three	6	1	0
8	0	text	color	blue	True	0	2	b3	shape	color	number	cross	blue	three	7	1	0
9	0	text	number	three	True	0	1	b3	color	number	shape	blue	three	cross	8	1	0
10	0	text	shape	cross	True	0	1	b3	color	shape	number	blue	cross	three	9	1	0
11	0	text	number	three	True	0	1	b3	shape	number	color	cross	three	blue	10	1	0
12	0	text	shape	cross	True	0	0	b3	number	shape	color	three	cross	blue	11	1	0
13	0	text	color	blue	True	0	1	b3	shape	color	number	cross	blue	three	12	1	0
14	0	text	shape	cross	True	0	1	b3	number	shape	color	three	cross	blue	13	1	0
15	0	text	number	three	True	0	0	b3	shape	number	color	cross	three	blue	14	1	0
16	0	audio	color	red	True	0	3	b1	color	shape	number	red	circle	one	15	1	0
17	0	audio	shape	circle	True	0	0	b1	shape	color	number	circle	red	one	16	1	0
18	0	audio	shape	circle	True	0	1	b1	shape	number	color	circle	one	red	17	1	0
19	0	audio	color	red	True	0	0	b1	color	number	shape	red	one	circle	18	1	0
20	0	audio	number	one	True	0	0	b1	number	shape	color	one	circle	red	19	1	0
21	0	audio	number	one	True	0	0	b1	number	shape	color	one	circle	red	20	1	0
22	0	audio	number	one	True	0	1	b1	number	color	shape	one	red	circle	21	1	0
23	0	audio	shape	circle	True	0	1	b1	shape	color	number	circle	red	one	22	1	0
24	0	visual	shape	triangle	True	0	4	b2	color	number	shape	green	two	triangle	23	1	0
25	0	visual	shape	triangle	True	0	1	b2	number	color	shape	two	green	triangle	24	1	0
26	0	visual	shape	triangle	True	0	0	b2	color	number	shape	green	two	triangle	25	1	0
27	0	visual	number	two	True	0	0	b2	shape	color	number	triangle	green	two	26	1	0
28	0	visual	number	two	True	0	0	b2	shape	color	number	triangle	green	two	27	1	0
29	0	visual	color	green	True	0	0	b2	shape	number	color	triangle	two	green	28	1	0
30	0	visual	color	green	True	0	0	b2	number	shape	color	two	triangle	green	29	1	0
31	0	visual	shape	triangle	True	0	0	b2	color	number	shape	green	two	triangle	30	1	0
32	0	audio	shape	star	True	0	2	b4	shape	number	color	star	four	yellow	31	1	0
33	0	audio	number	four	True	0	0	b4	number	shape	color	four	star	yellow	32	1	0
34	0	audio	color	yellow	True	0	0	b4	color	shape	number	yellow	star	four	33	1	0
35	0	audio	number	four	True	0	0	b4	number	color	shape	four	yellow	star	34	1	0
36	0	audio	number	four	True	0	0	b4	number	shape	color	four	star	yellow	35	1	0
37	0	audio	number	four	True	0	0	b4	number	color	shape	four	yellow	star	36	1	0
38	0	audio	shape	star	True	0	0	b4	shape	color	number	star	yellow	four	37	1	0
39	0	audio	number	four	True	0	0	b4	number	shape	color	four	star	yellow	38	1	0
40	2	visual	shape	star	True	0	5	b4	number	color	shape	two	green	star	39	1	0
41	2	visual	shape	triangle	True	0	2	b2	color	number	shape	yellow	three	triangle	40	1	0
42	2	visual	number	three	False	2	1	b4	shape	color	number	star	green	three	40	1	1
43	2	visual	shape	cross	True	0	1	b3	number	color	shape	three	green	cross	41	1	1
44	2	visual	shape	star	True	0	3	b4	number	color	shape	four	blue	star	42	1	1
45	2	visual	number	four	False	2	2	b2	color	shape	number	green	triangle	four	42	1	2
46	2	visual	number	three	True	0	1	b3	shape	color	number	star	yellow	three	43	1	2
47	2	visual	number	three	True	0	1	b3	shape	color	number	cross	green	three	44	1	2
48	2	audio	color	yellow	False	1	2	b3	color	number	shape	yellow	one	cross	44	2	2
49	2	audio	number	one	False	1	1	b4	number	shape	color	one	star	red	44	3	2
50	2	audio	color	blue	True	0	1	b3	color	shape	number	blue	star	three	45	3	2
51	2	audio	shape	star	True	0	2	b4	shape	color	number	star	yellow	three	46	3	2
52	2	audio	color	red	True	0	1	b1	color	number	shape	red	four	star	47	3	2
53	2	audio	number	one	True	0	1	b1	number	shape	color	one	cross	blue	48	3	2
54	2	audio	color	red	True	0	1	b1	color	shape	number	red	circle	four	49	3	2
55	2	audio	color	yellow	True	0	1	b4	color	number	shape	yellow	four	cross	50	3	2
56	0	text	shape	star	True	0	2	b4	number	shape	color	four	star	yellow	51	3	2
57	0	text	number	four	True	0	2	b4	shape	number	color	star	four	yellow	52	3	2
58	0	text	number	four	True	0	1	b4	shape	number	color	star	four	yellow	53	3	2
59	0	text	shape	star	True	0	0	b4	number	shape	color	four	star	yellow	54	3	2
60	0	text	color	yellow	True	0	1	b4	number	color	shape	four	yellow	star	55	3	2
61	0	text	number	four	True	0	2	b4	color	number	shape	yellow	four	star	56	3	2
62	0	text	color	yellow	True	0	0	b4	number	color	shape	four	yellow	star	57	3	2
63	0	text	number	four	True	0	0	b4	shape	number	color	star	four	yellow	58	3	2
64	1	visual	color	green	True	0	3	b2	shape	number	color	triangle	two	green	59	3	2
