Round	Level	 Score	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
0	2	0	visual	number	five	False	2	3	b4	color	shape	number	yellow	cross	five	0	0	1
1	2	1.2	visual	shape	star	True	0	4	b4	color	number	shape	magenta	three	star	1	0	1
2	2	4.0	visual	shape	star	True	0	1	b4	color	number	shape	magenta	three	star	2	0	1
3	2	2.5	visual	number	four	True	0	3	b4	shape	color	number	heart	blue	four	3	0	1
4	2	6.0	visual	number	three	True	0	1	b3	shape	color	number	heart	yellow	three	4	0	1
5	2	7.0	visual	color	yellow	True	0	1	b4	shape	number	color	heart	three	yellow	5	0	1
6	2	8.0	visual	shape	star	True	0	1	b4	color	number	shape	blue	five	star	6	0	1
7	2	6.0	visual	number	five	True	0	2	b5	color	shape	number	blue	star	five	7	0	1
8	2	0	text	number	three	False	1	4	b1	color	number	shape	red	three	star	7	1	1
9	2	0	text	number	one	False	1	2	b4	shape	number	color	cross	one	yellow	7	2	1
10	2	7.5	text	shape	circle	True	0	1	b1	color	shape	number	yellow	circle	three	8	2	1
11	2	4.25	text	color	blue	True	0	3	b3	number	color	shape	four	blue	circle	9	2	1
12	2	6.33333333333	text	shape	star	True	0	2	b4	number	shape	color	three	star	red	10	2	1
13	2	7.0	text	color	blue	True	0	2	b3	number	color	shape	four	blue	circle	11	2	1
14	2	7.66666666667	text	shape	cross	True	0	2	b3	color	shape	number	yellow	cross	one	12	2	1
15	2	8.33333333333	text	number	three	True	0	2	b3	shape	number	color	circle	three	yellow	13	2	1
16	4	0	audio	shape	heart	False	1	4	b2	shape	color	number	heart	blue	two	13	3	1
