Round	Level	Modality	Stimuli	Stimuli Type	Response	Persistence	Time	Button Pressed	Voice Stimuli	Text Stimuli	Image Stimuli	Voice Choice	Text Choice	Image Choice	Correct	NON-PER Errors	PER Errorsn
1	4	visual	shape	cross	False	2	6		color	number	shape	red	four	cross	0	0	1
2	4	visual	number	three	False	1	1	b2	color	shape	number	green	heart	three	0	1	1
3	4	visual	color	magenta	False	2	1	b1	shape	number	color	cross	one	magenta	0	1	2
4	4	visual	shape	circle	True	0	2	b1	number	color	shape	four	blue	circle	1	1	2
5	4	visual	color	red	True	0	1	b1	shape	number	color	heart	three	red	2	1	2
6	4	visual	color	green	True	0	2	b2	number	shape	color	five	circle	green	3	1	2
7	4	visual	color	green	False	2	1	b3	shape	number	color	cross	five	green	3	1	3
8	4	visual	shape	circle	True	0	1	b1	number	color	shape	four	blue	circle	4	1	3
9	4	visual	number	five	True	0	2	b5	shape	color	number	cross	red	five	5	1	3
10	4	visual	color	yellow	True	0	1	b4	number	shape	color	three	heart	yellow	6	1	3
11	4	visual	number	four	False	2	1	b5	shape	color	number	heart	red	four	6	1	4
12	4	visual	number	two	True	0	2	b2	color	shape	number	yellow	cross	two	7	1	4
13	4	visual	shape	triangle	True	0	1	b2	number	color	shape	four	red	triangle	8	1	4
14	4	visual	number	two	True	0	0	b2	shape	color	number	circle	yellow	two	9	1	4
15	4	visual	shape	star	False	2	2	b1	color	number	shape	magenta	one	star	9	1	5
16	4	visual	shape	cross	True	0	1	b3	color	number	shape	red	four	cross	10	1	5
17	4	visual	number	four	False	2	2	b5	color	shape	number	blue	triangle	four	10	1	6
18	4	visual	shape	star	True	0	1	b4	color	number	shape	red	two	star	11	1	6
19	4	visual	number	two	True	0	1	b2	shape	color	number	cross	yellow	two	12	1	6
20	4	visual	number	two	True	0	0	b2	shape	color	number	heart	blue	two	13	1	6
21	4	visual	number	two	True	0	0	b2	color	shape	number	red	heart	two	14	1	6
22	4	visual	number	five	True	0	1	b5	color	shape	number	green	circle	five	15	1	6
23	4	visual	number	five	True	0	0	b5	shape	color	number	triangle	blue	five	16	1	6
24	4	audio	number	one	False	1	1	b3	number	shape	color	one	triangle	blue	16	2	6
25	4	audio	number	two	False	1	2	b5	number	color	shape	two	magenta	circle	16	3	6
26	4	audio	color	yellow	True	0	1	b4	color	number	shape	yellow	two	cross	17	3	6
27	4	audio	number	five	True	0	1	b5	number	color	shape	five	blue	circle	18	3	6
28	4	audio	shape	triangle	True	0	1	b2	shape	color	number	triangle	magenta	four	19	3	6
29	4	audio	color	green	True	0	1	b2	color	number	shape	green	three	star	20	3	6
30	4	audio	shape	triangle	False	2	2	b5	shape	number	color	triangle	five	red	20	3	7
31	4	audio	number	five	True	0	2	b5	number	shape	color	five	triangle	red	21	3	7
32	2	visual	shape	heart	False	1	1	b2	color	number	shape	green	one	heart	21	4	7
33	2	visual	number	five	False	1	2	b1	color	shape	number	green	circle	five	21	5	7
34	2	visual	shape	heart	True	0	0	b5	number	color	shape	one	green	heart	22	5	7
35	2	visual	shape	triangle	True	0	1	b2	number	color	shape	one	magenta	triangle	23	5	7
36	2	visual	number	five	True	0	2	b5	color	shape	number	red	triangle	five	24	5	7
37	2	visual	number	five	True	0	1	b5	color	shape	number	red	triangle	five	25	5	7
38	2	visual	number	one	True	0	1	b1	color	shape	number	green	heart	one	26	5	7
39	2	visual	shape	circle	False	2	2	b2	color	number	shape	magenta	two	circle	26	5	8
40	2	visual	color	magenta	True	0	2	b5	number	shape	color	one	triangle	magenta	27	5	8
41	2	visual	color	magenta	True	0	1	b5	number	shape	color	one	triangle	magenta	28	5	8
42	2	visual	color	magenta	True	0	0	b5	number	shape	color	two	circle	magenta	29	5	8
43	2	visual	color	green	True	0	1	b2	number	shape	color	one	heart	green	30	5	8
44	2	visual	shape	circle	True	0	1	b1	number	color	shape	five	green	circle	31	5	8
45	2	visual	color	red	True	0	1	b1	shape	number	color	heart	two	red	32	5	8
46	2	visual	shape	circle	True	0	0	b1	number	color	shape	two	magenta	circle	33	5	8
47	2	visual	number	two	False	2	1	b1	color	shape	number	red	heart	two	33	5	9
48	2	visual	number	five	True	0	1	b5	shape	color	number	triangle	red	five	34	5	9
49	2	visual	number	five	False	2	6	b5	color	shape	number	green	circle	five	34	5	10
50	2	visual	shape	heart	True	0	2	b5	number	color	shape	two	red	heart	35	5	10
51	2	visual	color	magenta	True	0	1	b5	shape	number	color	circle	two	magenta	36	5	10
52	2	visual	color	green	False	2	2	b5	number	shape	color	five	circle	green	36	5	11
53	2	visual	color	green	False	2	1	b5	number	shape	color	five	circle	green	36	5	12
54	2	visual	shape	triangle	True	0	2	b2	number	color	shape	five	red	triangle	37	5	12
55	2	visual	number	one	True	0	1	b1	shape	color	number	heart	green	one	38	5	12
56	4	audio	color	magenta	False	1	2	b4	color	shape	number	magenta	circle	four	38	6	12
57	4	audio	shape	circle	False	1	1	b4	shape	number	color	circle	four	green	38	7	12
58	4	audio	number	three	True	0	3	b3	number	color	shape	three	green	heart	39	7	12
59	4	audio	color	yellow	True	0	2	b4	color	shape	number	yellow	cross	two	40	7	12
60	4	audio	color	red	True	0	2	b1	color	shape	number	red	heart	two	41	7	12
61	4	audio	shape	heart	True	0	2	b5	shape	number	color	heart	one	blue	42	7	12
62	4	audio	color	red	False	2	2	b4	color	number	shape	red	five	star	42	7	13
63	4	audio	number	three	False	2	6	b4	number	color	shape	three	green	star	42	7	14
63	4	audio	number	three	False	2	6	b4	number	color	shape	three	green	star	42	7	15
